site_name,site_id,cammlr_region,longitude_epsg_4326,latitude_epsg_4326,common_name,day,month,year,season_starting,penguin_count,accuracy,count_type,vantage,reference
Barrientos Island (Aitcho Islands),AITC,48.1,-59.751699999999985,-62.4070999999993,gentoo penguin,18,11,2005,2005,1998,1,nests,ground,<strong>Lynch  H. J.  R. Naveen  and P. Casanovas  </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data  1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653.
Barrientos Island (Aitcho Islands),AITC,48.1,-59.751699999999985,-62.4070999999993,gentoo penguin,20,12,2006,2006,1639,1,nests,ground,<strong>Lynch  H. J.  R. Naveen  and P. Casanovas  </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data  1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653.
Barrientos Island (Aitcho Islands),AITC,48.1,-59.751699999999985,-62.4070999999993,gentoo penguin,3,12,2007,2007,1383,1,nests,ground,<strong>Lynch  H. J.  R. Naveen  and P. Casanovas  </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data  1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653.
Barrientos Island (Aitcho Islands),AITC,48.1,-59.751699999999985,-62.4070999999993,chinstrap penguin,25,1,2009,2008,8307,1,chicks,ground,<strong>Lynch  H. J.  R. Naveen  and P. Casanovas  </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data  1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653.
Barrientos Island (Aitcho Islands),AITC,48.1,-59.751699999999985,-62.4070999999993,chinstrap penguin,26,11,2008,2008,5620,1,nests,ground,<strong>Lynch  H. J.  R. Naveen  and P. Casanovas  </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data  1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653.
Barrientos Island (Aitcho Islands),AITC,48.1,-59.751699999999985,-62.4070999999993,gentoo penguin,4,11,2008,2008,2210,1,nests,ground,<strong>Lynch  H. J.  R. Naveen  and P. Casanovas  </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data  1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653.
Barrientos Island (Aitcho Islands),AITC,48.1,-59.751699999999985,-62.4070999999993,gentoo penguin,29,12,2008,2008,2742,1,chicks,ground,<strong>Lynch  H. J.  R. Naveen  and P. Casanovas  </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data  1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653.
Barrientos Island (Aitcho Islands),AITC,48.1,-59.751699999999985,-62.4070999999993,chinstrap penguin,22,1,2010,2009,4870,1,chicks,ground,<strong>Lynch  H. J.  R. Naveen  and P. Casanovas  </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data  1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653.
Barrientos Island (Aitcho Islands),AITC,48.1,-59.751699999999985,-62.4070999999993,gentoo penguin,10,12,2009,2009,1900,1,nests,ground,<strong>Lynch  H. J.  R. Naveen  and P. Casanovas  </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data  1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653.
Barrientos Island (Aitcho Islands),AITC,48.1,-59.751699999999985,-62.4070999999993,gentoo penguin,21,12,2010,2010,1319,1,nests,ground,<strong>Lynch  H. J.  R. Naveen  and P. Casanovas  </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data  1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653.
Barrientos Island (Aitcho Islands),AITC,48.1,-59.751699999999985,-62.4070999999993,chinstrap penguin,17,11,2011,2011,4047,1,nests,ground,<strong>Lynch  H. J.  R. Naveen  and P. Casanovas  </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data  1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653.
Barrientos Island (Aitcho Islands),AITC,48.1,-59.751699999999985,-62.4070999999993,gentoo penguin,17,11,2011,2011,2213,1,nests,ground,<strong>Lynch  H. J.  R. Naveen  and P. Casanovas  </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data  1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653.
Barrientos Island (Aitcho Islands),AITC,48.1,-59.751699999999985,-62.4070999999993,gentoo penguin,28,1,2014,2013,2297,1,chicks,ground,<strong>Lynch  H. J.  </strong><i> ????a</i>. Antarctic Site Inventory. dataset.
Barrientos Island (Aitcho Islands),AITC,48.1,-59.751699999999985,-62.4070999999993,gentoo penguin,4,12,2014,2014,1916,1,nests,ground,<strong>Lynch  H. J.  </strong><i> ????a</i>. Antarctic Site Inventory. dataset.
Barrientos Island (Aitcho Islands),AITC,48.1,-59.751699999999985,-62.4070999999993,gentoo penguin,26,12,2015,2015,1828,1,nests,ground,<strong>Lynch  H. J.  </strong><i> ????a</i>. Antarctic Site Inventory. dataset.
Barrientos Island (Aitcho Islands),AITC,48.1,-59.751699999999985,-62.4070999999993,gentoo penguin,31,12,2017,2017,1704,1,nests,ground,<strong>Lynch  H. J.  </strong><i> ????a</i>. Antarctic Site Inventory. dataset.
Barrientos Island (Aitcho Islands),AITC,48.1,-59.751699999999985,-62.4070999999993,chinstrap penguin,27,12,2018,2018,3797,1,nests,ground,<strong>Lynch  H. J.  </strong><i> ????a</i>. Antarctic Site Inventory. dataset.
Barrientos Island (Aitcho Islands),AITC,48.1,-59.751699999999985,-62.4070999999993,gentoo penguin,27,12,2018,2018,1943,1,nests,ground,<strong>Lynch  H. J.  </strong><i> ????a</i>. Antarctic Site Inventory. dataset.
Aitken Cove,AITK,48.2,-44.52499999999999,-60.737999999998884,chinstrap penguin,28,12,1983,1983,3300,4,nests,ground,<strong>Poncet  S. and J. Poncet  </strong><i> 1985</i>. A survey of penguin breeding populations at the South Orkey Islands. British Antarctic Survey Bulletin 68:71-81.
Akarui Point,AKAR,58.4.2,41.39009999999998,-68.4998999999999,ad{\'e}lie penguin,24,11,1981,1981,211,1,adults,aerial,<strong>Hoshiai  T.  T. Sweda  and A. Tanimura  </strong><i> 1984</i>. Ad&#233;lie penguin census in the 1981-82 and 1982-1983 breeding seasons near Syowa Station  Antarctica [Special Issue]. Memoirs of National Institute of Polar Research 32:117-121.
Akarui Point,AKAR,58.4.2,41.39009999999998,-68.4998999999999,ad{\'e}lie penguin,14,11,1984,1984,187,1,adults,aerial,<strong>Ishikawa  S.  O. Matsuda  and K. Kawagushi  </strong><i> 1988</i>. Ad&#233;lie penguin census in the 1984-85 breeding season near Syowa Station  Antarctica with reference to the banding effect on the population. Antarctic Record 32:302-307.
Akarui Point,AKAR,58.4.2,41.39009999999998,-68.4998999999999,ad{\'e}lie penguin,11,2,2011,2010,106,5,nests,vhr,<strong>Lynch  H. J. and M. A. LaRue  </strong><i> 2014</i>. First global census of the Ad&#233;lie Penguin. The Auk 131:457-466.
Alasheyev Bight,ALAS,58.4.2,46.108999999999995,-67.65399999999987,ad{\'e}lie penguin,25,3,2009,2008,1080,5,nests,vhr,<strong>Lynch  H. J. and M. A. LaRue  </strong><i> 2014</i>. First global census of the Ad&#233;lie Penguin. The Auk 131:457-466.
Alcock Island,ALCO,48.1,-61.126999999999995,-64.23999999999958,chinstrap penguin,,,1989,1989,3000,4,nests,,<strong>Woehler  E. J.  </strong><i> 1993</i>. The distribution and abundance of Antarctic and Subantarctic penguins. Scientific Committee on Antarctic Research (SCAR)  Cambridge  United Kingdom.
Alcock Island,ALCO,48.1,-61.126999999999995,-64.23999999999958,chinstrap penguin,5,1,1998,1997,605,2,nests,ground,<strong>Favero  M.  N. R. Coria  and M. P. Beron  </strong><i> 2000</i>. The status of breeding birds at Cierva Point and surroundings  Danco Coast  Antarctic Peninsula. Polish Polar Research 21:181-187.
